Frame,ROI_location,ROI_transition,Distance_cm,Velocity,Acceleration
0,b2,False,0.0,0.0,0.0
1,b2,False,0.0560350063337895,0.01681050190013685,0.3855061783466901
2,b2,False,0.0988690261500884,0.02966070784502652,-0.018570015112728613
3,b2,False,0.096805691137563,0.0290417073412689,-0.22449127092379828
4,b2,False,0.0718622165904743,0.02155866497714229,0.5904009043445095
5,b2,False,0.1374623170731976,0.041238695121959275,-0.26078905659856405
6,b2,False,0.1084857552289127,0.032545726568673806,-0.308746130824772
7,b2,False,0.0741806295817158,0.02225418887451474,0.031588331224604374
8,b2,False,0.0776904441622274,0.02330713324866822,0.1005947119638882
9,b2,False,0.0888676343804372,0.02666029031413116,-0.23835614291617763
10,b2,False,0.0623836185008619,0.01871508555025857,0.3025823314576193
11,b2,False,0.0960038775517085,0.028801163265512547,-0.1335737137723361
12,b2,False,0.0811623537992267,0.02434870613976801,0.06776307983680285
13,b2,False,0.0886915848922048,0.02660747546766144,-0.036325424504658546
14,b2,False,0.0846554266139094,0.02539662798417282,0.01621634833907995
15,b2,False,0.0864572430960294,0.02593717292880882,0.15128411353039622
16,b2,False,0.1032665890438512,0.03097997671315536,0.5060818822104242
17,b2,False,0.1594979092894539,0.04784937278683617,-0.060049106188733714
18,b2,False,0.1528257863795946,0.045847735913878376,0.2096814910754477
19,b2,False,0.1761237298324221,0.05283711894972663,-0.37768479261425464
20,b2,False,0.1341587528752827,0.04024762586258481,-0.09644438095394142
21,b2,False,0.123442710547067,0.0370328131641201,-0.09320693001272723
22,b2,False,0.1130863849900973,0.03392591549702919,0.13562374755729611
23,b2,False,0.1281556902742413,0.038446707082272394,-0.15693350710246134
24,b2,False,0.1107186339295234,0.033215590178857016,0.18025498138487578
25,b2,False,0.1307469651945096,0.039224089558352875,0.13398427269239044
26,b2,False,0.1456341066047752,0.043690231981432556,-0.2022481985735861
27,b2,False,0.1231620845410434,0.03694862536231302,-0.537451985396411
28,b2,False,0.0634451972747755,0.01903355918243265,-0.01259192765970453
29,b2,False,0.062046094201475,0.0186138282604425,-0.2539041817747887
30,b2,False,0.0338345184487207,0.01015035553461621,-0.018035710567069502
31,b2,False,0.0318305506079352,0.00954916518238056,0.33426826311444024
32,b2,False,0.0689714687317619,0.02069144061952857,0.5593694336279253
33,b2,False,0.1311236280237536,0.03933708840712608,0.5602407483061932
34,b2,False,0.1933726000577751,0.05801178001733252,-0.03655882080108877
35,b2,False,0.1893105088576541,0.05679315265729623,0.30733265501130935
36,b2,False,0.2234585816366885,0.06703757449100654,0.4570152209056372
37,b2,False,0.2742380506262037,0.08227141518786112,0.07369545024532853
38,b2,False,0.2824264339867958,0.08472793019603873,0.06799348652456516
39,b2,False,0.2899812658228586,0.08699437974685757,-0.4201417874594787
40,b2,False,0.2432988449940276,0.07298965349820828,0.15286222981497205
41,b2,False,0.2602835371956912,0.07808506115870735,-0.19313775393120985
42,b2,False,0.2388237867588901,0.07164713602766702,-0.5016500499239459
43,b2,False,0.1830848923228961,0.054925467696868825,-0.18777933288042997
44,b2,False,0.1622205220028483,0.04866615660085449,-0.1891900563898935
45,b2,False,0.1411994046261935,0.04235982138785804,-0.38231768602893135
46,b2,False,0.09871966173409,0.029615898520227,-0.04880232673731173
47,b2,False,0.0932971809854998,0.02798915429564994,0.017697484816951402
48,b2,False,0.0952635681873833,0.028579070456214987,0.11515120535137681
49,b2,False,0.1080581465597585,0.03241744396792755,0.3546054298080883
50,b2,False,0.1474587498717683,0.04423762496153049,-0.10018145624176425
51,b2,False,0.1363274769560167,0.040898243086805015,0.1038565236726232
52,b2,False,0.1478670906974193,0.04436012720922579,0.14223763239578296
53,b2,False,0.1636712720747285,0.049101381622418554,-0.3683157189515291
54,b2,False,0.1227473033023364,0.03682419099070092,-0.1465667713759239
55,b2,False,0.1064621064827893,0.03193863194483679,-0.0697726689556824
56,b2,False,0.0987095877099357,0.029612876312980707,-0.05153477399860402
57,b2,False,0.0929835017100908,0.02789505051302724,-0.14986949730108748
58,b2,False,0.0763313353433033,0.02289940060299099,0.23758042133226231
59,b2,False,0.1027291599357769,0.030818747980733068,-0.15446659101123958
60,b2,False,0.0855662053789725,0.02566986161369175,-0.19418602179297068
61,b2,False,0.0639899807353091,0.019196994220592727,0.2124886461254397
62,b2,False,0.0875998303048024,0.026279949091440716,-0.2640717339839126
63,b2,False,0.0582585265288121,0.01747755795864363,0.17886843620632795
64,b2,False,0.0781327972184041,0.02343983916552123,-0.04807204499905283
65,b2,False,0.072791458885176,0.0218374376655528,-0.20813300078382907
66,b2,False,0.049665569909195,0.014899670972758499,0.013820404891558506
67,b2,False,0.0512011704527015,0.01536035113581045,0.5443214619050623
68,b2,False,0.1116813328865973,0.03350439986597919,0.25215555098911946
69,b2,False,0.1396986163298328,0.04190958489894984,-0.2506094852633218
70,b2,False,0.1118531179672415,0.033555935390172445,-0.20015597295692727
71,b2,False,0.0896135654164718,0.026884069624941536,0.9227637080382294
72,b2,False,0.1921428663096084,0.057642859892882516,0.4591022332367916
73,b2,False,0.2431542255581408,0.07294626766744224,0.07662516772467529
74,b2,False,0.2516681330831047,0.07550043992493141,-0.5542270445944513
75,b2,False,0.1900873503503879,0.05702620510511637,-0.3635777170478827
76,b2,False,0.1496898262339565,0.044906947870186946,0.009846413579434471
77,b2,False,0.150783872187227,0.045235161656168095,-0.3019321028721806
78,b2,False,0.1172358607569847,0.03517075822709541,0.10579534252894172
79,b2,False,0.128990898815756,0.0386972696447268,-0.015905054494034232
